code,chapter,chapter_name,organ_system,title,labels_count,image_filename,front_page,back_page
1-1,1,The Cell,general,The Cell,7,netter_his_1_1.jpg,14,15
1-2,1,The Cell,general,Cell Junctions,5,netter_his_1_2.jpg,16,17
1-3,1,The Cell,general,Nucleus,3,netter_his_1_3.jpg,18,19
1-4,1,The Cell,general,Nucleus,6,netter_his_1_4.jpg,20,21
1-5,1,The Cell,general,Mitochondria,4,netter_his_1_5.jpg,22,23
1-6,1,The Cell,general,Ribosomes,3,netter_his_1_6.jpg,24,25
1-7,1,The Cell,general,Golgi Complex,4,netter_his_1_7.jpg,26,27
1-8,1,The Cell,general,Cytoplasm,5,netter_his_1_8.jpg,28,29
1-9,1,The Cell,general,Inclusions,3,netter_his_1_9.jpg,30,31
1-10,1,The Cell,general,Cytoplasmic Vesicles,4,netter_his_1_10.jpg,32,33
1-11,1,The Cell,general,Cytoskeleton,2,netter_his_1_11.jpg,34,35
2-1,2,Epithelium and Exocrine Glands,general,Classification of Epithelia,9,netter_his_2_1.jpg,36,37
2-2,2,Epithelium and Exocrine Glands,general,Simple Squamous Epithelium,6,netter_his_2_2.jpg,38,39
2-3,2,Epithelium and Exocrine Glands,general,Simple Columnar and Pseudostratified Epithelia,7,netter_his_2_3.jpg,40,41
2-4,2,Epithelium and Exocrine Glands,general,Simple Columnar Epithelium,8,netter_his_2_4.jpg,42,43
2-5,2,Epithelium and Exocrine Glands,general,Stratified Squamous Keratinized Epithelium,4,netter_his_2_5.jpg,44,45
2-6,2,Epithelium and Exocrine Glands,general,Stratified Epithelium,5,netter_his_2_6.jpg,46,47
2-7,2,Epithelium and Exocrine Glands,general,Transitional Epithelium,7,netter_his_2_7.jpg,48,49
2-8,2,Epithelium and Exocrine Glands,general,Classification of Exocrine Glands,6,netter_his_2_8.jpg,50,51
2-9,2,Epithelium and Exocrine Glands,general,Serous Cells,5,netter_his_2_9.jpg,52,53
2-10,2,Epithelium and Exocrine Glands,general,Mucous Cells,5,netter_his_2_10.jpg,54,55
2-11,2,Epithelium and Exocrine Glands,general,Mammary Gland,9,netter_his_2_11.jpg,56,57
3-1,3,Connective Tissue,general,Loose Connective Tissue,10,netter_his_3_1.jpg,58,59
3-2,3,Connective Tissue,general,Dense Connective Tissue,4,netter_his_3_2.jpg,60,61
3-3,3,Connective Tissue,general,Fibroblasts,4,netter_his_3_3.jpg,62,63
